아이템명 (Long ver),재고 여부,총공정단위&공정순서,굿즈명,Goods(stock),GoodsName,제작협력사,파츠 유형,생산유형,1_표준원가,100_표준원가,50_표준원가,300_표준원가,500_표준원가,1000_표준원가,5000_표준원가,3000_표준원가,10000_표준원가,30000_표준원가,기본 사용 수량,구매/생산 담당자,총공정단위(입력중),공정순서(입력중),단위,공정진행 협력사,2022.2Q. 발주담당자 (from 공정진행 협력사),아이템 총 제작 리드타임_100개,아이템 총 제작 리드타임_300개,아이템 총 제작 리드타임_기본_500개,아이템 총 제작 리드타임_1000개,아이템 총 제작 리드타임_3000개,파츠 총 제작 리드타임_100개(from parts),파츠 총 제작 리드타임_300개(from parts),파츠 총 제작 리드타임_기본_500개(from parts),파츠 총 제작 리드타임_1000개(from parts),파츠 총 제작 리드타임_3000개(from parts),파츠명,파츠 제작 이동 리드타임(from parts),산출물 필터링_파츠 제작 이동 리드타임,ERP 품목 여부_text
CSTS_PT1319-실버팩_100-3,⭕재고⭕,,100% 커스텀 삭스,,100% 커스텀 삭스,올댓프린팅,Package Parts,,100,100,100,100,100,100,100,100,100,100,,박형천 ,,,개,제이디패키지,문경선,0,0,0,0,0,0,0,,0,0,PT1319-실버팩_100-3,,0,False
CSTS_PT1751-OPP(기성),,,100% 커스텀 삭스,,100% 커스텀 삭스,,Package Parts,,,0,0,0,0,0,0,0,0,0,,,,,장,(주)반디야,,0,0,0,0,0,0,0,,0,0,PT1751-OPP(기성),,0,False
AVBX_,,,Advent 굿즈박스,,Advent 굿즈박스,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
AVBX_PT0484-콘폼,⭕재고⭕,S1,Advent 굿즈박스,,Advent 굿즈박스,네추럴 폼,Package Parts,산출물,90,90,90,90,90,90,90,90,90,90,,,S,1,개,,,0,0,0,0,0,0,0,,0,0,PT0484-콘폼,,,True
AVBX_PT2829-트레이박스_화이트,⭕재고⭕,S1,Advent 굿즈박스,,Advent 굿즈박스,주식회사 팩토리비인쇄그룹,Package Parts,산출물,932,932,932,932,932,932,932,932,932,932,1.0000,,S,1,개,,,0,0,0,0,0,0,0,,0,0,PT2829-트레이박스_화이트,,,True
AVBX_PT2830-지지대_화이트,⭕재고⭕,S1,Advent 굿즈박스,,Advent 굿즈박스,주식회사 팩토리비인쇄그룹,Package Parts,산출물,466,466,466,466,466,466,466,466,466,466,1.0000,,S,1,개,,,0,0,0,0,0,0,0,,0,0,PT2830-지지대_화이트,,,True
AVBX_PT3074-에어캡봉투(대),⭕재고⭕,S1,Advent 굿즈박스,,Advent 굿즈박스,이고다포장,Package Parts,산출물,,,,,,,,,,,,,S,1,,,,0,0,0,0,0,0,0,,0,0,PT3074-에어캡봉투(대),,,True
AVBX_PT3197-슬리브(커스텀인쇄)_화이트+디지털풀컬러,,A1,Advent 굿즈박스,,Advent 굿즈박스,서울디지털인쇄협동조합,Package Parts,산출물,,4300,4900,3800,3300,2800,2200,2500,1700,,1.0000,,A,1,개,서울디지털인쇄협동조합,육승미,6,8,8,13,13,5,7,7,12,12,PT3197-슬리브(커스텀인쇄)_화이트+디지털풀컬러,1,1,True
AVBX_PT3660-조립산출물_Advent굿즈박스,,,Advent 굿즈박스,,Advent 굿즈박스,,Phantom Parts,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,PT3660-조립산출물_Advent굿즈박스,,0,False
DP13_PT4011-차량용비상망치_실버,,A1,Baseus | 차량용 비상망치,,Baseus | 차량용 비상망치,주식회사 엠피맨코리아,Product Parts,산출물,,,,,,,,,,,,,A,1,,주식회사 엠피맨코리아,,0,0,0,0,0,0,0,,0,0,PT4011-차량용비상망치_실버,,,True
DP13_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,,B1,Baseus | 차량용 비상망치,,Baseus | 차량용 비상망치,슈퍼웍스컴퍼니,Printing Parts,산출물,,,,,,,,,,,,,B,1,,슈퍼웍스컴퍼니,정승윤,0,0,0,0,0,0,0,,0,0,PT4020-볼륨프린팅_슈퍼웍스컴퍼니,,,True
DP13_PT4022-원형스티커_화이트+디지털풀컬러,,C1,Baseus | 차량용 비상망치,,Baseus | 차량용 비상망치,서울디지털인쇄협동조합,Package Parts,산출물,,,,,,,,,,,,,C,1,,서울디지털인쇄협동조합,육승미,0,0,0,0,0,0,0,,0,0,PT4022-원형스티커_화이트+디지털풀컬러,,,True
DP13_PT4066-조립산출물_Baseus|차량용비상망치,,,Baseus | 차량용 비상망치,,Baseus | 차량용 비상망치,,Phantom Parts,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,PT4066-조립산출물_Baseus|차량용비상망치,,0,False
DP13_검토대상(recGQJbXVpgt1RSPb),,,Baseus | 차량용 비상망치,,Baseus | 차량용 비상망치,(주)명성,Product Parts,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,Unnamed record,,0,False
BSKP_PT0397-실크_500x200_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0397-실크_500x200_청산인쇄,,0,False
BSKP_PT0398-공박(양각)_250x500_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0398-공박(양각)_250x500_청산인쇄,,0,False
BSKP_PT0399-슬리브(커스텀인쇄)_그레이_200-3[바스켓],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Package Parts,옵션,,,,,,,,,,,,문제호,B,1,개,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0399-슬리브(커스텀인쇄)_그레이_200-3,,0,False
BSKP_PT0400-바스켓_리드_그레이,⭕재고⭕,A1,Basket 패키지,,Basket 패키지,주식회사 이우피앤씨,Product Parts,옵션,,450,,450,450,450,450,450,450,450,,박형천 ,A,1,개,신명인쇄,김민지,0,0,0,0,0,0,0,,0,0,PT0400-바스켓_리드_그레이,,0,True
BSKP_PT0401-슬리브(커스텀인쇄)_화이트+옵셋풀컬러_200-3[바스켓],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Package Parts,옵션,,,,,,,,,,,,문제호,B,1,개,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0401-슬리브(커스텀인쇄)_화이트+옵셋풀컬러_200-3,,0,True
BSKP_PT0402-지지대(전용)_화이트_100-4[슬리브_화이트],,E1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Package Parts,산출물,,,,,,,,,,,,문제호,E,1,개,(주)청산인쇄,육승미,6,8,8,10,12,5,7,7,9,11,PT0402-지지대(전용)_화이트_100-4,1,1,True
BSKP_PT0403-바스켓_리드_오트밀,⭕재고⭕,A1,Basket 패키지,,Basket 패키지,주식회사 이우피앤씨,Product Parts,옵션,,450,,450,450,450,450,450,450,450,,박형천 ,A,1,개,신명인쇄,김민지,0,0,0,0,0,0,0,,0,0,PT0403-바스켓_리드_오트밀,,0,True
BSKP_PT0404-바스켓_바디_오트밀,⭕재고⭕,S1,Basket 패키지,,Basket 패키지,주식회사 이우피앤씨,Product Parts,산출물,1300000,13000,26000,4334,2600,1300,1300,1300,1300,1300,,박형천 ,S,1,개,,,0,0,0,0,0,0,0,,0,0,PT0404-바스켓_바디_오트밀,,,True
BSKP_PT0405-지지대(전용)_그레이_100-4[슬리브_그레이],,E1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Package Parts,산출물,,,,,,,,,,,,문제호,E,1,개,(주)청산인쇄,육승미,6,8,8,10,12,5,7,7,9,11,PT0405-지지대(전용)_그레이_100-4,1,1,False
BSKP_PT0406-웰컴페이퍼(커스텀인쇄)_화이트+옵셋풀컬러_100-12,,C1,Basket 패키지,,Basket 패키지,서울디지털인쇄협동조합,Package Parts,산출물,13000,260,260,240,210,180,120,150,90,90,,문제호,C,1,장,서울디지털인쇄협동조합,육승미,3,3,3,5,7,2,2,2,4,6,PT0406-웰컴페이퍼(커스텀인쇄)_화이트+옵셋풀컬러_100-12,1,1,True
BSKP_PT0407-바스켓_바디_그레이,⭕재고⭕,S1,Basket 패키지,,Basket 패키지,주식회사 이우피앤씨,Product Parts,산출물,1300000,13000,26000,4334,2600,1300,1300,1300,1300,1300,,박형천 ,S,1,개,,,0,0,0,0,0,0,0,,0,0,PT0407-바스켓_바디_그레이,,,True
BSKP_PT0408-실크_Basket패키지_신명인쇄[바스켓_리드],,A1,Basket 패키지,,Basket 패키지,신명인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,권혁인,A,1,,신명인쇄,김민지,0,0,0,0,0,0,0,,0,0,PT0408-실크_Basket패키지_신명인쇄,,0,True
BSKP_PT0409-실크_250x600_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0409-실크_250x600_청산인쇄,,0,False
BSKP_PT0410-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_100-12,,D1,Basket 패키지,,Basket 패키지,서울디지털인쇄협동조합,Package Parts,산출물,35000,350,350,173,136,108,64,83,55,50,,문제호,D,1,장,서울디지털인쇄협동조합,육승미,2,4,4,7,9,1,3,3,6,8,PT0410-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_100-12,1,1,True
BSKP_PT0411-공박(양각)_250x350_청산인쇄[슬리브],,B1,Basket 패키지,,Basket 패키지,(주)청산인쇄,Printing Parts,옵션,,0,0,0,0,0,0,0,0,0,,문제호,B,1,,(주)청산인쇄,육승미,0,0,0,0,0,0,0,,0,0,PT0411-공박(양각)_250x350_청산인쇄,,0,False
