Code,품목,제품유형 3차분류,제품유형 2차분류,제품유형 1차분류,굿즈 Status 1.goods,PB/NB,출시일,리뉴얼,단종일,"판매일수 
(딘종일-출시일)","판매월 
(딘종일-출시일)",시즌,시즌_1,IP,수주액 2022,수주액 2022/01,수주액 2022/02,수주액 2022/03,수주액 2022/04,수주액 2022/05,수주액 2022/06,수주액 2022/07,수주액 2022/08,수주액 2022/09,수주액 2022/10,수주액 2022/11,수주액 2022/12,수주액 2023,수주액 2023/01,수주액 2023/02,수주액 2023/03,수주액 2023/04,수주액 2023/05,수주액 2023/06,수주액 2023/07,수주액 2023/08,수주액 2023/09,수주액 2023/10,수주액 2023/11,수주액 2023/12,수주액 2024,수주액 2024/01,수주액 2024/02,수주액 2024/03,수주액 2024/04,수주액 2024/05,수주액 2024/06,수주액 2024/07,수주액 2024/08,수주액 2024/09,수주액 2024/10,수주액 2024/11,수주액 2024/12,수주액 2025,수주액 2025/01,수주액 2025/02,수주액 2025/03,수주액 2025/04,수주액 2025/05,수주액 2025/06,수주액 2025/07,수주액 2025/08,수주액 2025/09,수주액 2025/10,수주액 2025/11,수주액 2025/12,판매량 2022,판매량 2022/01,판매량 2022/02,판매량 2022/03,판매량 2022/04,판매량 2022/05,판매량 2022/06,판매량 2022/07,판매량 2022/08,판매량 2022/09,판매량 2022/10,판매량 2022/11,판매량 2022/12,판매량 2023,판매량 2023/01,판매량 2023/02,판매량 2023/03,판매량 2023/04,판매량 2023/05,판매량 2023/06,판매량  2023/07,판매량 2023/08,판매량 2023/09,판매량 2023/10,판매량 2023/11,판매량 2023/12,판매량 2024,판매량 2024/01,판매량 2024/02,판매량 2024/03,판매량 2024/04,판매량 2024/05,판매량 2024/06,판매량 2024/07,판매량 2024/08,판매량 2024/09,판매량 2024/10,판매량 2024/11,판매량 2024/12,판매량 2025,판매량 2025/01,판매량 2025/02,판매량 2025/03,판매량 2025/04,판매량 2025/05,판매량 2025/06,판매량 2025/07,판매량 2025/08,판매량 2025/09,판매량 2025/10,판매량 2025/11,판매량 2025/12,구성비 2022,구성비 2022/01,구성비 2022/02,구성비 2022/03,구성비 2022/04,구성비 2022/05,구성비 2022/06,구성비 2022/07,구성비 2022/08,구성비 2022/09,구성비 2022/10,구성비 2022/11,구성비 2022/12,구성비 2023,구성비 2023/01,구성비 2023/02,구성비 2023/03,구성비 2023/04,구성비 2023/05,구성비 2023/06,구성비 2023/07,구성비 2023/08,구성비 2023/09,구성비 2023/10,구성비 2023/11,구성비 2023/12,구성비 2024,구성비 2024/01,구성비 2024/02,구성비 2024/03,구성비 2024/04,구성비 2024/05,구성비 2024/06,구성비 2024/07,구성비 2024/08,구성비 2024/09,구성비 2024/10,구성비 2024/11,구성비 2024/12,구성비 2025,구성비 2025/01,구성비 2025/02,구성비 2025/03,구성비 2025/04,구성비 2025/05,구성비 2025/06,구성비 2025/07,구성비 2025/08,구성비 2025/09,구성비 2025/10,구성비 2025/11,구성비 2025/12,SKU 2022,SKU 2022/01,SKU 2022/02,SKU 2022/03,SKU 2022/04,SKU 2022/05,SKU 2022/06,SKU 2022/07,SKU 2022/08,SKU 2022/09,SKU 2022/10,SKU 2022/11,SKU 2022/12,SKU 2023,SKU 2023/01,SKU 2023/02,SKU 2023/03,SKU 2023/04,SKU 2023/05,SKU 2023/06,SKU 2023/07,SKU 2023/08,SKU 2023/09,SKU 2023/10,SKU 2023/11,SKU 2023/12,SKU 2024,SKU 2024/01,SKU 2024/02,SKU 2024/03,SKU 2024/04,SKU 2024/05,SKU 2024/06,SKU 2024/07,SKU 2024/08,SKU 2024/09,SKU 2024/10,SKU 2024/11,SKU 2024/12,SKU 2025,SKU 2025/01,SKU 2025/02,SKU 2025/03,SKU 2025/04,SKU 2025/05,SKU 2025/06,SKU 2025/07,SKU 2025/08,SKU 2025/09,SKU 2025/10,SKU 2025/11,SKU 2025/12,판매가 구간,100개 기준 판매가,300개 기준 판매가,검토 내용,[예림] 비고,"판매일 2023/01 
품절일제외","판매일 2023/02 
품절일제외",판매일 2023/03,판매일 2023/04,판매일 2023/05,판매일 2023/06,판매일 2023/07,판매일 2023/08,판매일 2023/09,판매일 2023/10,판매일 2023/11,판매일 2023/12,판매일 2024/01,판매일 2024/02,판매일 2024/03,판매일 2024/04,판매일 2024/05,판매일 2024/06,판매일 2024/07,판매일 2024/08,판매일 2024/09,판매일 2024/10,판매일 2024/11,판매일 2024/12,판매일 2025/01,판매일 2025/02,판매일 025/03,판매일 2025/04,판매일 2025/05,판매일 2025/06,판매일 2025/07,판매일 2025/08,판매일 2025/09,판매일 2025/10,판매일 2025/11,판매일 2025/12,"활성 판매월 2023  
품절일제외
여름, 겨울시즌 3개월","활성 판매월 2023 
품절일제외
여름, 겨울시즌 3개월","활성 판매월 2023 
품절일제외
여름, 겨울시즌 3개월_2","판매월 2023 
품절일제외
여름, 겨울시즌 3개월","판매월 2024 
품절일제외
여름, 겨울시즌 3개월","판매월 2025 
품절일제외
여름, 겨울시즌 3개월","월평균 2023
수주액 / 활성판매월","월평균 2024
수주액 / 활성판매월","월평균 2025
수주액 / 활성판매월","월평균 2023
수주액 / 판매월","월평균 2024
수주액 / 판매월","월평균 2025
수주액 / 판매월",판매일 2023(휴일제외),판매일 2024(휴일제외),판매일 2025(휴일제외),영업일 2023(출시 및 단종일 고려),영업일 2024출시 및 단종일 고려),영업일 2025 9월 30일까지출시 및 단종일 고려),영업일수 2025 ,품절율 2023,품절율 2024,"품절율 2025  
9월 30일까지",월평균 2023,소싱구분
CLRU,클리어 리유저블컵,플라스틱 텀블러,리유저블컵,Drinkware,판매중,NB,2022.2.10,,,1459,48,,계절적제품: 여름,,85486210,,3770500,8872200,11382000,5149000,22009700,4800000,8346610,3564000,6974200,8833000,1785000,50561790,7615500,1856000,5194500,6850000,4452500,5489590,600000,4326000,4664000,817700,3612000,5084000,47815550,4517100,4250000,3988350,9636400,2499200,2458400,1495000,10097300,6423800,640000,1810000,,48187150,2651600,3755000,12950000,2987100,5598650,1968500,6319920,5040000,685100,,2944000,3287280,,,,,,,,,,,,,,,,,,,,,,,,,,,7815,730,700,705,1340,360,380,250,1830,1120,100,300,,8437,495,800,2200,530,935,351,1104,800,130,,520,572,0.00621,0,0.00689,0.01336,0.01,0.0051,0.01827,0.00549,0.00673,0.00369,0.00497,0.00354,0.0011,0.00391,0.00864,0.00273,0.00527,0.01091,0.00482,0.00726,0.00066,0.00492,0.00446,0.00065,0.002,0.00233,0.00359,0.00508,0.00521,0.00672,0.01062,0.00273,0.00237,0.00167,0.00987,0.00581,0.00037,0.00095,0,0.00389,0.00286,0.00525,0.01312,0.00299,0.0026,0.00724,0.0026,0.00525,0.00059,0,0.00179,0.00224,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01_0~5천원,"₩3,900","₩3,300",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"10,112,358","3,984,629","160,000","6,883,879","3,984,629","48,187,150",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
CMWG,Carry me 와인잔,플라스틱 와인잔,와인잔,Wine,판매중,NB,2021.3.19,,,1787,58.8,,계절적제품: 봄/가을,,154234160,2618000,,9295000,36382000,4307000,4592500,1786000,6944500,1253200,2830000,4660000,79565960,32912500,3660000,1050000,4560000,6093500,13100,1919000,1490000,2880000,5468200,1998700,,3780000,20528540,2625600,6097500,2097600,,,,1810000,,,1020000,1770000,5107840,12503300,1470000,1249300,2760000,2595000,940000,,,,1930000,,129000,1430000,,,,,,,,,,,,,,,,,,,,,,,,,,,1323,151,350,120,,,,100,,,100,100,402,980,100,130,200,150,100,,,,200,,,100,0.01121,0.00444,0,0.01399,0.03198,0.00426,0.00381,0.00204,0.0056,0.0013,0.00201,0.00187,0.04887,0.00254,0.00415,0.00154,0.00463,0.00971,0.00001,0.00254,0.00165,0.00328,0.00523,0.00159,0,0.00173,0.00154,0.00295,0.00748,0.00353,0,0,0,0.00202,0,0,0.00059,0.00092,0.00337,0.00101,0.00158,0.00175,0.0028,0.0026,0,0,0,0,0.00166,0,0.00008,0.00097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩6,900","₩6,300",코드 통일,CMWS >> CMWG,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"6,582,500","1,710,712","255,000","1,786,186","1,710,712","12,503,300",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
CNPB,컬러풀 노트패드(블랙),컬러페이퍼 커버,메모패드,Stationery,판매중,PB,2019.4.1,,,2505,82.4,,,,14388510,1194560,469000,734000,1044000,479000,907500,907500,1282950,757500,1810000,1320000,3482500,13635860,610000,846000,,530000,4210000,,,610000,1092500,2460000,639360,2638000,13205780,,,966000,2474000,1842680,,,1890000,,705600,3250000,2077500,18816920,610000,4460200,,817500,3514000,2582000,,,2560000,,1399520,2873700,,,,,,,,,,,,,,,,,,,,,,,,,,,2627,,,200,600,457,,,300,,120,600,350,4177,100,1170,,150,900,500,,,600,,242,515,0.00105,0.00203,0.00086,0.00111,0.00092,0.00047,0.00075,0.00104,0.00103,0.00078,0.00129,0.00053,0.00214,0.00105,0.00069,0.00124,0,0.00084,0.00455,0,0,0.00069,0.00104,0.00195,0.00035,0.00121,0.00099,0,0,0.00163,0.00273,0.00202,0,0,0.00185,0,0.00041,0.0017,0.00137,0.00152,0.00066,0.00624,0,0.00082,0.00341,0,0.00341,0,0.00221,0,0.00085,0.00196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01_0~5천원,"₩4,500","₩3,200",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"2,727,172","1,100,482","176,400","2,688,131","1,100,482","18,816,920",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
CNPD,컬러풀 노트패드,컬러페이퍼 커버,메모패드,Stationery,판매중,PB,2018.12.26,2022.4.15,,2601,85.6,,,,39273800,1557000,1557000,,1797000,1500000,,4797000,12458000,,1800000,5440000,8367800,29041240,5346000,,1740000,,8310800,,3480000,4506000,,1920000,,3738440,26120000,,,3800000,9150000,,,2550000,1800000,5100000,,3720000,,15570000,3900000,1860000,1800000,,,,2550000,,,,1800000,3660000,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,1000,2000,,,500,300,1000,,600,,2600,600,300,300,,,,500,,,,300,600,0.00285,0.00264,0.00285,0,0.00158,0.00149,0,0.00549,0.01004,0,0.00128,0.00218,0.00514,0.00225,0.00606,0,0.00177,0,0.00899,0,0.00384,0.00513,0,0.00152,0,0.00171,0.00196,0,0,0.0064,0.01008,0,0,0.00285,0.00176,0.00462,0,0.00194,0,0.00126,0.0042,0.0026,0.00182,0,0,0.00292,0,0,0,0,0.0011,0.00249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,₩0,"₩5,400",,,,,,,,,,,,22,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,1,12,4,3,12,1,"29,041,240","2,176,667",0,"5,190,000","2,176,667","15,570,000",83,365,31,260,262,195,,0.6808,-0.39,0.841,,
COMB,컴바인 머그,스텐 머그,머그컵,Drinkware,졸업,NB(브랜드),2021.9.16,,2023.4.28,589,19.4,,,,22119460,,,,2375000,2375000,5617500,4802160,,,6949800,,,12210000,7140000,2450000,,2620000,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161,0,0,0,0.00209,0.00235,0.00466,0.0055,0,0,0.00495,0,0,0.00094,0.0081,0.0036,0,0.00417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05_2만~2.5만원,"₩22,000","₩21,500",단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,"12,210,000",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,85,0,0,,1,,,,
CPLG,인스타 피규어,액션 피규어,피규어,Figure,졸업,NB,2019.9.10,2021.4.26,,2343,77.1,,,,685040170,25597800,40926400,32687010,94834600,40379120,73844420,43871470,51827400,83438100,63087370,61118200,73428280,681947800,40068050,38210400,34486230,56418850,60031400,38533800,42334440,58763110,69841400,75588800,89874620,77796700,508421100,85082800,43727460,37091000,68371990,29019100,43811160,44971100,56175400,35124070,33899920,28703500,2443600,2290000,2290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67714,10063,5876,4700,8563,3900,6079,5972,8110,5827,4154,4050,420,400,400,,,,,,,,,,,,0.04978,0.0434,0.07483,0.04921,0.08336,0.03998,0.06129,0.0502,0.04177,0.08642,0.04491,0.02449,0.0451,0.05273,0.04545,0.05614,0.03499,0.08986,0.06494,0.05096,0.04674,0.06684,0.06678,0.06004,0.04981,0.03564,0.03815,0.09575,0.05364,0.06247,0.07532,0.03175,0.0422,0.05031,0.05489,0.03179,0.01973,0.01499,0.00161,0.00018,0.00247,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01_0~5천원,"₩4,800","₩4,400",단종(견적서 등록 완료),,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,,,,,,,,,,,,,5,12,3,7,12,0,"136,389,560","42,368,425","11,299,973","327,143","42,368,425",#DIV/0!,214,365,0,260,262,195,,0.1769,-0.39,1,,
CPNF,칠링패드 냉각선풍기,선풍기,계절가전,Tech,판매중,NB,2025.3.31,,,314,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,140621510,,,,4726000,37007300,34738110,51293700,12111400,745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,9372,,,,300,2510,2327,3370,815,50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01134,0,0,0,0.00474,0.04594,0.05876,0.04594,0.01262,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,03_1만~1.5만원,"₩13,500","₩13,400",,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,1,0,1,0,0,1,0,#DIV/0!,0,#DIV/0!,#DIV/0!,"140,621,510",0,0,31,0,0,132,,,,0.7652,,국내소싱
CPSY,케어풀 포켓 새니타이저,손소독제,위생,Lifestyle,졸업,PB,2020.10.19,,2025.4.30,1654,54.4,,,,72530200,7182030,14030500,10987300,13898590,596800,5339800,1067180,3446000,9680000,816000,1620000,3866000,6715200,460000,1690000,910000,,,1003200,,2652000,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,970,,,,0,0,0,0.00527,0.01218,0.02565,0.01654,0.01222,0.00059,0.00443,0.00122,0.00278,0.01003,0.00058,0.00065,0.00237,0.00052,0.00052,0.00248,0.00092,0,0,0.00133,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01_0~5천원,"₩2,900","₩2,700",단종(견적서 등록 완료),,,,,,,30,31,31,30,,,,,,,,,,,31,30,,,,,,,,,,,,,,,,5,2,0,4,2,0,"1,343,040",0,#DIV/0!,0,0,#DIV/0!,122,61,0,260,262,86,,0.5308,0.77,1,,
CSPR,고객입고물품,기타,기타,기타,판매중,,,,,,,,,,300000,0,0,0,0,0,300000,0,,,,,,0,,,,,,,,,,,0,,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00002,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01_0~5천원,₩0,₩0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
CSTS,100% 커스텀 삭스,양말,양말,Apparel,졸업,PB,2019.7.4,,2021.11.9,859,28.3,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01_0~5천원,"₩5,800","₩4,200",단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
CTPS,카드트레이 피규어세트,디오라마,월드 오브 피규어,Figure,판매중,PB,2025.4.16,,,298,9.8,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,77428470,,5649090,5532080,17315200,4879800,8026100,2677200,13058900,6082000,2776000,8827600,2604500,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,8817,,673,679,2230,660,,,2045,700,400,1080,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0,0.0079,0.00561,0.01735,0.01061,0.00307,0.01061,0.0136,0.00524,0.0024,0.00537,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩5,900","₩5,700",,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,1,0,1,0,0,1,0,#DIV/0!,0,#DIV/0!,#DIV/0!,"77,428,470",0,0,31,0,0,120,,,,0.7417,,
CWTR,컴퍼니 워터,생수,생수,F&B,졸업,NB,2018.12.1,,2021.1.18,779,25.6,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01_0~5천원,₩0,₩890,단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
DAHP,데일리 핫팩 세트,핫팩,보온,Lifestyle,졸업,PB,2019.12.11,,2021.12.24,744,24.5,,계절적제품: 겨울,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,830,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01_0~5천원,"₩1,900","₩1,800",단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
DBAG,Passion 더스트백,블랙,스트링 파우치,Kit,판매중,PB,2018.10.26,2023.7.31,,2662,87.6,,,,28009070,1962270,1710000,5473900,3625000,3006000,2040800,1266000,498000,1554000,702400,1400000,4770700,30431600,1237500,1452000,2902000,1930000,2472500,1029800,2402000,3990200,1144700,3462300,4441400,3967200,27535290,300000,2450000,,3604950,2413300,949200,4429500,2265000,2579750,2323890,4511900,1707800,39273110,1744000,2447800,290000,2599000,8531000,3397200,2588060,2212300,5271800,1738600,3328400,5124950,,,,,,,,,,,,,,,,,,,,,,,,,,,10153,100,1100,,1305,890,320,1650,850,925,813,1650,550,14257,651,980,100,1000,3935,1340,420,,2050,605,1250,1926,0.00204,0.00333,0.00313,0.00824,0.00319,0.00298,0.00169,0.00145,0.0004,0.00161,0.0005,0.00056,0.00293,0.00235,0.0014,0.00213,0.00294,0.00307,0.00267,0.00136,0.00265,0.00454,0.00109,0.00275,0.00246,0.00182,0.00207,0.00034,0.00301,0,0.00397,0.00264,0.00091,0.00496,0.00221,0.00234,0.00135,0.00236,0.00113,0.00317,0.00188,0.00342,0.00029,0.0026,0.00449,0.00296,0.00449,0.0023,0.00455,0.0015,0.00202,0.00349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01_0~5천원,"₩1,700","₩1,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,"30,431,600",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,260,262,195,,1,1,1,,
DCMS,데코 무선 가습기,가습기,계절가전,Tech,졸업,NB,2022.3.4,,2024.12.31,1033,34,,계절적제품: 봄/가을,,16440000,,0,2310000,,,,,,,5420000,5910000,2800000,29049600,,,,5420000,,,,2800000,,3090000,14669600,3070000,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,,0,904,,,,,0,0.00119,0,0,0.00348,0,0,0,0,0,0,0.00386,0.00237,0.00172,0.00225,0,0,0,0.00863,0,0,0,0.00318,0,0.00245,0.00813,0.00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,05_2만~2.5만원,"₩24,000","₩23,200",단종(견적서 등록 완료),,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,,,,,,,,,,,,,5,12,3,7,12,0,"5,809,920",0,0,0,0,#DIV/0!,214,365,0,260,262,0,,0.1769,-0.39,,,국내소싱
DEAR,Dear 기프트박스,골지합지,G형박스,Kit,졸업,PB,2021.7.26,,2021.8.25,30,1,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,단종(견적서 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,
