Goods Name,Goods Code,출시일,리뉴얼,졸업일,제조국,Goods Category_1.goods,굿즈 Status_1.goods,itemdb (new),HS CODE 및 MBS 유의사항,"판매가(300개,표준인쇄포함)",제품유형_1차분류,제품유형_2차분류,제품유형_3차분류,제품군_일상/계절,제품유형_ESG,IP,출시일/졸업일 비고,PB/NB
오픈 스트로우 세트,OSTR,2020-06-10,,2025-07-09,중국,Drinkware,졸업,"OSTR_PT1446-스탠다드빨대_그린,OSTR_PT1442-스탠다드빨대_핑크,OSTR_PT1445-스탠다드빨대_퍼플,OSTR_PT1439-스탠다드빨대_레드,OSTR_PT1441-버블티빨대_퍼플,OSTR_PT1444-버블티빨대_핑크,OSTR_PT1448-아이콘아크릴_투명[스탠다드빨대],OSTR_PT1440-주의사항표기서(전용)_화이트_000-1[스탠다드빨대.버블티빨대],OSTR_PT1443-슬라이드지퍼백(커스텀인쇄)_반투명_200-3,OSTR_PT1447-실크_50x100_오픈스트로우세트_개미기획[슬라이드지퍼백],OSTR_PT2565-슬라이드지퍼백_추상적산출물,OSTR_PT3684-조립산출물_오픈스트로우세트,OSTR_PT3792-인쇄된슬라이드지퍼백","(효경)
MBS 발주 시 품질표기스티커 MD팀에 템플릿 제작 요청 필요 ","5,000 미만",Drinkware,빨대,실리콘 빨대,일상적제품,,,,NB
메세지 스트랩,MSST,2019-10-07,,2025-07-09,대한민국,Tech,졸업,"MSST_PT0884-메세지스트랩,MSST_PT0886-전사_4도기본_메세지스트랩_아이작[메세지스트랩],MSST_PT0885-전사_4도정밀_메세지스트랩_아이작[메세지스트랩],MSST_PT0887-배경지(커스텀인쇄)_화이트+옵셋풀컬러_100-1,MSST_PT2627-샘플(본제작과동일옵션)[메세지스트랩],MSST_PT1751-OPP(기성)[배경지],MSST_PT2518-메세지스트랩_추상적산출물,MSST_PT3556-외주생산총공정산출물_메세지스트랩,MSST_PT3622-조립산출물_메세지스트랩",,"5,000 미만",Tech,모바일 악세사리,스트랩,일상적제품,,,,PB
허니콤보,HONY,2021-06-29,,2025-06-25,대한민국,Food&Beverage,졸업,"HONY_PT1835-쇼핑백(기성)(허니키프트콤보)_200-6,HONY_PT1838-허니보틀(오리지널),HONY_PT1839-허니미니팩(시나몬),HONY_PT1837-허니미니팩(레몬),HONY_PT1834-띠지(커스텀인쇄)_화이트+디지털풀컬러_300-7,HONY_PT1833-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러_300-5,HONY_PT1112-브랜딩택(커스텀인쇄)_화이트+디지털풀컬러_100-1,HONY_PT1113-쇼핑백(L)_화이트_200-4,HONY_PT1836-허니미니팩(초코),HONY_PT1414-택끈_블랙_000-1,HONY_PT1075-브랜딩택(커스텀인쇄)_화이트+디지털풀컬러_000-1,HONY_PT2603-허니콤보_추상적산출물,HONY_PT3727-조립산출물_허니콤보",,"35,000 미만",F&B,건강식품,꿀,일상적제품,,,,NB
킵세이프 마그넷 배터리,MGNB,2024-01-19,,2025-06-25,중국,Tech,졸업,"MGNB_PT3765-킵세이프마그넷배터리_추상적산출물,MGNB_PT0388-단품박스(스탠다드)_화이트_000-15,MGNB_PT3766-킵세이프마그넷배터리,MGNB_PT3767-샘플(UV인쇄),MGNB_PT3768-UV_전면중앙_호언,MGNB_PT3769-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,MGNB_PT3770-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,MGNB_PT3771-주의사항표기서(전용)_화이트,MGNB_PT3816-샘플(킵세이프마그넷배터리),MGNB_PT3338-OPP,MGNB_PT3849-조립산출물_킵세이프마그넷배터리,MGNB_PT3851-외주생산총공정산출물_킵세이프마그넷배터리,MGNB_PT4863-UV_전면중앙_신시어리웨일즈,MGNB_PT4769-주의사항표기서(전용)_화이트,MGNB_PT4770-단품박스(스탠다드)_화이트,MGNB_PT4873-킵세이프마그넷배터리2.0(샘플),MGNB_PT4874-샘플(UV인쇄)_신시어리웨일즈,MGNB_PT4696-킵세이프마그넷배터리2.0,MGNB_,MGNB_",,"20,000 미만",Tech,배터리,휴대용,일상적제품,,,,NB
커피 펜슬,CFPC,2021-02-19,,2025-05-23,대한민국,Stationery,졸업,"CFPC_PT1560-지지대_그레이_100-1[단품박스],CFPC_PT1558-레이저각인_커피펜슬_타우하이텍[커피펜슬],CFPC_PT1147-단품박스(스탠다드)_웜그레이_000-4,CFPC_PT1141-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-4,CFPC_PT1148-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-1[스탠다드_단품박스],CFPC_PT1559-커피펜슬_블랙,CFPC_PT2648-샘플(본제작과동일옵션)[커피펜슬],CFPC_PT1128-단품박스(커스텀인쇄)_웜그레이+블랙인쇄_000-4,CFPC_PT1868-공박(양각)_50x50_청산인쇄[단품박스(커스텀인쇄)],CFPC_PT2574-단품박스_추상적산출물,CFPC_PT2750-샘플(커피펜슬),CFPC_PT3602-외주생산총공정산출물_커피펜슬,CFPC_PT3677-조립산출물_커피펜슬","[온라인으로 판매할 경우]
-소비자가 3,000원 이상으로 판매 필수
-할인할 경우 할인판매기간 기입 필수

[오프라인으로 판매할 경우]
-판매가는 상관없음


[필수 표기 관련]
어린이도 구매가 가능한 곳에서 판매될 경우
- KC안전인증번호 기입 필수 [CB111A096-0001]
- 외 필수사항 없음","5,000 미만",Stationery,연필,커피소재,일상적제품,ESG,,,NB
I'm not a paper cup,ICUP,2019-08-01,,2025-05-20,대한민국,Drinkware,졸업,"ICUP_PT0485-아임낫어페이퍼컵_블랙,ICUP_PT0488-아임낫어페이퍼컵_화이트,ICUP_PT0486-아임낫어페이퍼컵_반투명,ICUP_PT0094-실크_1색_Imnotapapercup_한주텀블러[아임낫어페이퍼컵],ICUP_PT0489-실크_2색_Imnotapapercup_한주텀블러[아임낫어페이퍼컵],ICUP_PT0493-단품박스(스탠다드)_웜그레이_000-19,ICUP_PT0494-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-19,ICUP_PT0487-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_100-1[스탠다드_단품박스],ICUP_PT0491-실크_1색_양면_Imnotapapercup_한주텀블러[아임낫어페이퍼컵],ICUP_PT0490-실크_1색_단면_Imnotapapercup_한주텀블러[아임낫어페이퍼컵],ICUP_PT0492-단품박스(기성(배송용))_000-3,ICUP_PT2098-샘플(실크1색)_아임낫어페이퍼컵_한주텀블러[아임낫어페이퍼컵],ICUP_PT2099-샘플(실크2색)_아임낫어페이퍼컵_한주텀블러[아임낫어페이퍼컵],ICUP_PT2480-아임낫어페이퍼컵_추상적산출물,ICUP_PT3680-조립산출물_Imnotapapercup,ICUP_PT3822-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러[스탠다드_단품박스]",,"5,000 미만",Drinkware,리유저블컵,플라스틱 텀블러,계절적제품: 여름,,,,NB
젠틀 차량용 청소기,GTVC,2025-01-31,,2025-05-14,중국,Tech,졸업,"GTVC_PT4691-젠틀차량용청소기_그레이,GTVC_PT4692-레이저각인_알로코리아주식회사,GTVC_PT4693-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,GTVC_PT4694-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러,GTVC_PT4695-단품박스(기성),GTVC_PT2131-골지단품박스(스탠다드)_화이트_100-6,GTVC_PT4697-조립산출물_젠틀차량용청소기",알로코리아 b2C 단독 상품,"40,000 미만",Tech,차량용가전,,일상적제품,,,,NB
인앤아웃 캠핑 폴딩박스,IAOU,2022-05-13,2022-05-13,2025-05-13,중국,Lifestyle,졸업,"IAOU_PT2379-인앤아웃캠핑폴딩박스_블랙,IAOU_PT2382-샘플(커스텀인쇄)(실크)_1색_대나무상판_가심마켓,IAOU_PT2235-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-80[OPP],IAOU_PT2383-주의사항표기서(전용)_화이트+디지털풀컬러_100-3[인앤아웃캠핑폴딩박스],IAOU_PT2380-실크_1색_대나무상판_가심마켓[인앤아웃캠핑폴딩박스],IAOU_PT2294-펠트백(스탠다드)_블랙_400-1,IAOU_PT2298-실크_실버_전면_150x150_기프트인포주식회사[펠트백],IAOU_PT2381-OPP(기성)_400-3[인앤아웃캠핑폴딩박스],IAOU_PT2571-인앤아웃캠핑폴딩박스_추상적산출물,IAOU_PT2510-펠트백_추상적산출물,IAOU_PT2612-실크_실버_전면_150x150_개미기획[펠트백],IAOU_PT2808-인앤아웃캠핑폴딩박스_상판(대나무),IAOU_PT3763-조립산출물_인앤아웃캠핑폴딩박스",,"30,000미만",Outdoor,캠핑,폴딩박스,계절적제품: 봄/가을,,,,PB
스트랩 마스크케이스,STMC,2020-06-22,,2025-04-30,대한민국,Lifestyle,졸업,"STMC_,STMC_PT1157-스트랩마스크케이스_화이트,STMC_PT1155-실크_스트랩마스크케이스_비투비코리아[스트랩마스크케이스],STMC_PT1158-실리콘스트랩_블랙,STMC_PT1154-실리콘스트랩_화이트,STMC_PT1161-덴탈마스크_블랙,STMC_PT1580-덴탈마스크_화이트,STMC_PT1317-실버팩_100-5,STMC_PT1316-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-13[실버팩],STMC_PT1159-플라스틱단품박스(기성)_투명_100-1,STMC_PT1160-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-3[플라스틱단품박스],STMC_PT2636-샘플(본제작과동일옵션)[스트랩마스크케이스],STMC_PT2694-스트랩마스크케이스_추상적산출물,STMC_PT3675-조립산출물_스트랩마스크케이스",,"5,000 미만",Lifestyle,위생,마스크 케이스,일상적제품,,,,PB
핸디 파우더솝,HDPS,2020-03-16,,2025-04-30,대한민국,Lifestyle,졸업,"HDPS_PT1830-핸디파우더솝,HDPS_PT1826-라벨스티커(핸디파우더솝)_화이트+디지털풀컬러,HDPS_PT1828-단품박스(전용)(1개입)_화이트_000-2,HDPS_PT1829-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-2,HDPS_PT1827-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-10,HDPS_PT1831-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-22[단품박스(1개입)],HDPS_PT1832-단품박스(전용)(3개입)_화이트_000-10,HDPS_PT2614-사각스티커(커스텀인쇄)(3개입)_화이트+디지털풀컬러_000-86[단품박스(3개입)],HDPS_PT3610-조립산출물_핸디파우더솝",,"5,000 미만",Lifestyle,위생,파우더솝,일상적제품,,,,PB
