Goods Name,Goods Code,출시일,리뉴얼,졸업일,제조국,Goods Category_1.goods,굿즈 Status_1.goods,itemdb (new),HS CODE 및 MBS 유의사항,"판매가(300개,표준인쇄포함)",제품유형_1차분류,제품유형_2차분류,제품유형_3차분류,제품군_일상/계절,제품유형_ESG,IP,출시일/졸업일 비고,PB/NB
홈카페 코스터,HCCO,2021-06-03,,,대한민국,Drinkware,판매중,"HCCO_PT2666-샘플(본제작과동일옵션),HCCO_PT1845-홈카페코스터(M)_투명,HCCO_PT1846-홈카페코스터(S)_반투명,HCCO_PT1848-홈카페코스터(M)_반투명,HCCO_PT1843-UV_투명표면_85x85_홈카페코스터_해드린[홈카페코스터(S)_투명],HCCO_PT1841-UV_투명표면_97x97_홈카페코스터_해드린[홈카페코스터(M)_투명],HCCO_PT1849-UV_반투명표면_85x85_홈카페코스터_해드린[홈카페코스터(S)_반투명],HCCO_PT1842-UV_반투명표면_97x97_홈카페코스터_해드린[홈카페코스터(M)_반투명],HCCO_PT1840-배경지(커스텀인쇄)(M)_화이트+디지털풀컬러_100-8,HCCO_PT1850-OPP(기성)(M)_100-12[홈카페코스터(M)],HCCO_PT1847-배경지(커스텀인쇄)(S)_화이트+디지털풀컬러_000-3,HCCO_PT1844-홈카페코스터(S)_투명,HCCO_PT1851-OPP(기성)(S)_100-13[홈카페코스터(S)],HCCO_PT2604-홈카페코스터_추상적산출물,HCCO_PT3571-외주생산총공정산출물_홈카페코스터,HCCO_PT3608-조립산출물_홈카페코스터",,"5,000 미만",Lifestyle,코스터,아크릴 코스터,일상적제품,,,,PB
ECO 페이퍼박스,ECPB,2021-03-18,,,대한민국,Kit Package,판매중,"ECPB_PT0482-공박(양각)_100x100_청산인쇄[커스텀인쇄_페이퍼G형박스],ECPB_PT0483-공박(양각)_150x200_청산인쇄[커스텀인쇄_페이퍼G형박스],ECPB_PT0480-색박(음각)_100x100_청산인쇄[커스텀인쇄_페이퍼G형박스],ECPB_PT0481-색박(음각)_150x200_청산인쇄[커스텀인쇄_페이퍼G형박스],ECPB_PT0473-띠지(커스텀인쇄)_화이트+디지털풀컬러_200-3,ECPB_PT0472-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_100-7,ECPB_PT0476-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러_100-7,ECPB_PT0075-웰컴페이퍼(커스텀인쇄)(펜타공)_화이트+디지털풀컬러_100-7,ECPB_PT0478-페이퍼G형박스(커스텀인쇄)(S)_그레이_100-1,ECPB_PT0474-페이퍼G형박스(커스텀인쇄)(T)_그레이_100-2,ECPB_PT0484-콘폼,ECPB_PT0477-페이퍼G형박스(S)_그레이_100-1,ECPB_PT0475-페이퍼G형박스(T)_그레이_100-2,ECPB_PT0479-웰컴페이퍼(커스텀인쇄)(펜타공)_화이트+디지털풀컬러_100-14,ECPB_PT2479-페이퍼G형박스_추상적산출물,ECPB_PT3073-에어캡봉투(중),ECPB_PT3072-에어캡봉투(소),ECPB_PT3658-조립산출물_ECO페이퍼박스,ECPB_",,"5,000 미만",Kit ,G형박스,단상자,일상적제품,ESG,,,PB
클립 아트펜,CLIP,2020-04-29,,,대한민국,Stationery,판매중,"CLIP_PT1671-클립아트펜(스탠다드)_강남핑크,CLIP_PT1650-클립아트펜(네온)_바질,CLIP_PT1672-클립아트펜(스탠다드)_살몬핑크,CLIP_PT1669-클립아트펜(스탠다드)_플라밍고핑크,CLIP_PT1660-클립아트펜(스탠다드)_페어리퍼플,CLIP_PT1658-클립아트펜(스탠다드)_유니콘블루,CLIP_PT1659-클립아트펜(스탠다드)_소다블루,CLIP_PT1663-클립아트펜(스탠다드)_몬스터블루,CLIP_PT1649-클립아트펜(스탠다드)_마카롱민트,CLIP_PT1653-클립아트펜(스탠다드)_러버덕옐로우,CLIP_PT1666-클립아트펜(스탠다드)_스노우화이트,CLIP_PT1655-클립아트펜(스탠다드)_스테리나잇블루,CLIP_PT1652-클립아트펜(스탠다드)_캘리포니아오렌지,CLIP_PT1670-클립아트펜(스탠다드)_케챱레드,CLIP_PT1654-클립아트펜(스탠다드)_미드나잇블랙,CLIP_PT1657-클립아트펜(스탠다드)_스페이스그레이,CLIP_,CLIP_PT1667-클립아트펜(네온)_레몬,CLIP_PT1664-클립아트펜(네온)_시트러스,CLIP_PT1651-UV_단면부분_클립아트펜_디자인방위대[클립아트펜],CLIP_PT1673-배경지(커스텀인쇄)_화이트+옵셋풀컬러_100-7,CLIP_PT1674-OPP_000-3[배경지],CLIP_PT1665-UV_단면전체_클립아트펜_디자인방위대[클립아트펜],CLIP_PT1661-UV_양면_클립아트펜_디자인방위대[클립아트펜],CLIP_PT2629-샘플(본제작과동일옵션)[클립아트펜],CLIP_PT1662-클립아트펜(스탠다드)_피스타치오그린,CLIP_PT1656-배경지(커스텀인쇄)_화이트+옵셋지정색_100-7,CLIP_PT2582-클립아트펜_추상적산출물,CLIP_PT2785-샘플(클립아트펜),CLIP_PT3472-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,CLIP_PT3497-외주생산총공정산출물_클립아트펜,CLIP_PT3693-조립산출물_클립아트펜",,"5,000 미만",Stationery,펜,캐릭터펜,일상적제품,,,,NB
인스타 피규어,CPLG,2019-09-10,2021-04-26,,대한민국,Figure,졸업,"CPLG_PT0032-UV_피규어다리전면_인스타피규어_DMK[인스타피규어_기본피규어],CPLG_PT1536-인스타피규어_기본피규어_컬러,CPLG_PT1534-인스타피규어_핸드블록(A)_화이트,CPLG_PT0012-UV_피규어상체전면_인스타피규어_DMK[인스타피규어_기본피규어],CPLG_PT0086-UV_피규어후면_인스타피규어_DMK[인스타피규어_기본피규어],CPLG_PT1520-인스타피규어_키링[인스타피규어_기본피규어],CPLG_PT0091-OPP_000-4[인스타피규어_기본피규어],CPLG_PT1518-배경지(커스텀인쇄)(기본)_화이트+옵셋풀컬러_000-1[OPP],CPLG_PT1519-배경지(커스텀인쇄)(키링)_화이트+옵셋풀컬러_000-9[실버팩],CPLG_PT1318-실버팩_100-1[인스타피규어_키링],CPLG_PT1535-인스타피규어_핸드블록(B)_화이트,CPLG_PT1533-인스타피규어_핸드블록(C)_화이트,CPLG_PT0080-UV_피규어측면_인스타피규어_DMK[인스타피규어_기본피규어],CPLG_PT0131-본드접착_키링_인스타피규어_DMK[인스타피규어_키링],CPLG_PT0134-고정_핸드블록_인스타피규어_DMK[핸드블록],CPLG_PT1521-배경지(커스텀인쇄)(마그넷)_화이트+옵셋풀컬러_000-2[OPP],CPLG_PT0133-본드접착_핸드블록_인스타피규어_DMK[핸드블록],CPLG_PT1522-마그넷스탠드_블랙[인스타피규어_기본피규어],CPLG_PT1526-마그넷스탠드_웜화이트[인스타피규어_기본피규어],CPLG_PT1523-마그넷스탠드_레드[인스타피규어_기본피규어],CPLG_PT1524-마그넷스탠드_옐로우[인스타피규어_기본피규어],CPLG_PT1525-마그넷스탠드_그린[인스타피규어_기본피규어],CPLG_PT1527-마그넷스탠드_블루[인스타피규어_기본피규어],CPLG_PT1528-지퍼팩(기성)_투명_000-1[인스타피규어_기본피규어],CPLG_PT1529-본드접착_키링_인스타피규어_엠알오즈[인스타피규어_키링],CPLG_PT1530-고정_핸드블록_인스타피규어_엠알오즈[핸드블록],CPLG_PT1531-본드접착_키링_인스타피규어_나래메탈[인스타피규어_키링],CPLG_PT1532-고정_핸드블록_인스타피규어_나래메탈[핸드블록],CPLG_PT1537-UV_피규어다리전면_인스타피규어_엠알오즈[인스타피규어_기본피규어],CPLG_PT1538-UV_피규어상체전면_인스타피규어_엠알오즈[인스타피규어_기본피규어],CPLG_PT1539-UV_피규어후면_인스타피규어_엠알오즈[인스타피규어_기본피규어],CPLG_PT1540-UV_피규어측면_인스타피규어_엠알오즈[인스타피규어_기본피규어],CPLG_PT2566-인스타피규어_추상적산출물,CPLG_PT2771-샘플(고객시안인쇄),CPLG_PT2799-샘플(고객시안인쇄.키링),CPLG_PT3582-외주생산총공정산출물_인스타피규어,CPLG_PT3652-조립산출물_인스타피규어,CPLG_,CPLG_,CPLG_",,"10,000 미만",Figure,피규어,액션 피규어,일상적제품,,,,NB
릴리프 눈마사지기,EMSG,2021-01-25,,,중국,Tech,판매중,"EMSG_PT0866-레이저각인_릴리프눈마사지기_타우하이텍[릴리프눈마사지기],EMSG_PT0864-릴리프눈마사지기_화이트,EMSG_PT0865-단품박스(기성)_200-3,EMSG_PT0863-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-9[단품박스],EMSG_PT0867-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_100-4,EMSG_PT2656-샘플(본제작과동일옵션)[릴리프눈마사지기],EMSG_PT2691-릴리프눈마사지기_추상적산출물,EMSG_PT2756-샘플(릴리프눈마사지기),EMSG_PT3583-외주생산총공정산출물_릴리프눈마사지기,EMSG_PT3722-조립산출물_릴리프눈마사지기",,"35,000 미만",Tech,건강가전,마사지기,일상적제품,,,,NB
브랜드-잇,BRDT,2018-12-04,2022-04-15,,대한민국,Stationery,판매중,"BRDT_PT1032-OPP_000-1,BRDT_PT1029-브랜드잇_커버(그문드비)_컬러,BRDT_PT1906-색박(음각)_50x50_청산인쇄[브랜드잇_커버],BRDT_PT1931-색박(음각)_50x100_청산인쇄[브랜드잇_커버],BRDT_PT1948-색박(음각)_100x100_청산인쇄[브랜드잇_커버],BRDT_PT1030-브랜드잇_내지(무지),BRDT_PT1028-브랜드잇_내지(커스텀인쇄)_화이트+옵셋지정색,BRDT_PT1860-공박(양각)_50x50_청산인쇄[브랜드잇_커버],BRDT_PT1873-공박(양각)_50x100_청산인쇄[브랜드잇_커버],BRDT_PT1879-공박(양각)_100x100_청산인쇄[브랜드잇_커버],BRDT_PT2033-실크_30x30_청산인쇄[브랜드잇_커버],BRDT_PT2026-실크_50x50_청산인쇄[브랜드잇_커버],BRDT_PT2020-실크_80x180_청산인쇄[브랜드잇_커버],BRDT_PT1027-브랜드잇_커버(컬러플랜)_컬러,BRDT_PT1031-브랜드잇_커버(친환경)_컬러,BRDT_PT2313-브랜드잇_커버(코코아)_컬러,BRDT_PT2314-브랜드잇_커버(후르츠)_컬러,BRDT_PT2315-브랜드잇_내지(후르츠에디션.무지),BRDT_PT2316-브랜드잇_내지(후르츠에디션.커스텀인쇄),BRDT_PT2527-브랜드잇_커버_추상적산출물,BRDT_PT3669-조립산출물_브랜드잇",,"5,000 미만",Stationery,포스트잇,일반형,일상적제품,ESG,,,PB
밸류보드 다이어리,VABD,2020-08-06,2023-09-26,,대한민국,Stationery,판매중,"VABD_PT0417-공박(양각)_50x100_청산인쇄[밸류보드다이어리_커버],VABD_PT0724-공박(음각)_100x100_청산인쇄[밸류보드다이어리_커버],VABD_PT0725-공박(음각)_150x200_청산인쇄[밸류보드다이어리_커버],VABD_PT0988-실버팩_200-1,VABD_PT0722-공박(음각)_50x50_청산인쇄[밸류보드다이어리_커버],VABD_PT0984-밸류보드다이어리_그레이,VABD_PT0987-밸류보드다이어리_내지(만년)_화이트[밸류보드다이어리_커버],VABD_PT1914-색박(음각)_50x50_청산인쇄[밸류보드다이어리_커버],VABD_PT1937-색박(음각)_50x100_청산인쇄[밸류보드다이어리_커버],VABD_PT1952-색박(음각)_100x100_청산인쇄[밸류보드다이어리_커버],VABD_PT1973-색박(음각)_150x200_청산인쇄[밸류보드다이어리_커버],VABD_PT0986-밸류보드다이어리_내지(커스텀인쇄)_화이트+블랙인쇄,VABD_PT0985-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-58[실버팩],VABD_PT0983-OPP(기성)_200-2,VABD_PT0947-씬페이퍼봉투_화이트_100-4,VABD_PT0723-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-42[씬페이퍼봉투],VABD_[밸류보드다이어리_커버],VABD_PT2523-밸류보드다이어리_추상적산출물,VABD_PT2893-밸류보드다이어리_커버_그레이,VABD_PT2981-샘플_교정용무선제본(밸류보드다이어리),VABD_PT3009-밸류보드다이어리(Lite.내지192p),VABD_PT3321-밸류보드다이어리(에스카보드),VABD_PT3444-밸류보드다이어리_커버(에스카보드)_그레이,VABD_PT3468-밸류보드다이어리_내지(커스텀인쇄192p)_화이트+블랙인쇄,VABD_PT3712-조립산출물_밸류보드다이어리",,"10,000 미만",Stationery,다이어리,페이퍼 하드커버,계절적제품: 겨울,,,,PB
Solid 스탠다드 G형 박스,DRCG,2020-02-17,2025-04-17,,대한민국,Kit Package,판매중,"DRCG_PT0600-웰컴페이퍼(커스텀인쇄)(L)_반투명+블랙인쇄_200-1,DRCG_PT0616-웰컴페이퍼(커스텀인쇄)(L)_화이트+옵셋풀컬러_200-1,DRCG_PT0592-웰컴페이퍼(커스텀인쇄)(M)_반투명+블랙인쇄_000-2,DRCG_PT0590-웰컴페이퍼(커스텀인쇄)(M)_화이트+옵셋풀컬러_000-2,DRCG_PT0596-웰컴페이퍼(커스텀인쇄)(S)_반투명+블랙인쇄_100-11,DRCG_PT0594-웰컴페이퍼(커스텀인쇄)(S)_화이트+옵셋풀컬러_100-11,DRCG_PT0609-웰컴페이퍼(커스텀인쇄)(커스텀사이즈)_반투명+블랙인쇄,DRCG_PT0607-웰컴페이퍼(커스텀인쇄)(커스텀사이즈)_화이트+옵셋풀컬러,DRCG_PT0611-띠지(커스텀인쇄)(L)_화이트+디지털풀컬러_000-2,DRCG_PT0613-띠지(커스텀인쇄)(S)_화이트+디지털풀컬러_400-2,DRCG_PT0604-띠지(커스텀인쇄)(M)_화이트+디지털풀컬러_500-1,DRCG_PT0608-사각스티커(커스텀인쇄)(S)_화이트+디지털풀컬러_000-50,DRCG_PT0618-사각스티커(커스텀인쇄)(M)_화이트+디지털풀컬러_000-51,DRCG_PT0599-사각스티커(커스텀인쇄)(L)_화이트+디지털풀컬러_000-53,DRCG_PT0606-골지G형박스(L)_그레이_200-2,DRCG_PT0601-골지G형박스(M)_그레이_200-1,DRCG_PT0602-골지G형박스(S)_그레이_100-1,DRCG_PT0059-노트류지지박스_블랙_100-1,DRCG_PT0553-노트류지지박스_화이트_100-1,DRCG_PT0558-머그류지지박스_블랙_000-2,DRCG_PT0557-머그류지지박스_화이트_000-2,DRCG_PT1912-색박(음각)_50x50_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT1934-색박(음각)_50x100_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT1949-색박(음각)_100x100_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT1970-색박(음각)_150x200_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT1985-색박(음각)_250x250_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT1996-색박(음각)_250x350_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT2003-색박(음각)_250x500_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT0620-색박(음각)_500x500_청산인쇄[커스텀인쇄_골지G형박스(L.XL)],DRCG_PT0605-골지G형박스(커스텀인쇄)(XL)_블랙_200-4,DRCG_PT0615-골지G형박스(커스텀인쇄)(XL)_화이트+옵셋풀컬러_200-4,DRCG_PT0531-목형제작_청산인쇄[골지G형박스],DRCG_PT1890-공박(양각)_150x200_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT0551-노트류지지박스(커스텀인쇄)_화이트+옵셋풀컬러_100-1,DRCG_PT0550-머그류지지박스(커스텀인쇄)_화이트+옵셋풀컬러_000-2,DRCG_PT0552-텀블러류지지박스(커스텀인쇄)_화이트+옵셋풀컬러_000-1,DRCG_PT0549-텀블러류지지박스_블랙_000-1,DRCG_PT0548-텀블러류지지박스_화이트_000-1,DRCG_PT0619-공박(양각)_500x500_청산인쇄[커스텀인쇄_골지G형박스(L.XL)],DRCG_PT0621-스코딕스_500x200_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT2052-실크_130x200_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT2043-스코딕스_130x200_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT2053-실크_500x200_청산인쇄[커스텀인쇄_골지G형박스],DRCG_PT0612-골지G형박스(커스텀인쇄)(커스텀사이즈),DRCG_PT0603-골지G형박스(커스텀인쇄)(M)_화이트+옵셋지정색_200-1,DRCG_PT0598-골지G형박스(커스텀인쇄)(XL)_화이트+옵셋지정색_200-4,DRCG_PT0595-골지G형박스(커스텀인쇄)(L)_화이트+옵셋지정색_200-2,DRCG_PT0555-노트류지지대(전용)_화이트_100-2,DRCG_PT0554-노트류지지대(전용)_블랙_100-2,DRCG_PT0556-노트류지지대(커스텀인쇄)_화이트+옵셋풀컬러_100-2,DRCG_PT2486-골지G형박스_추상적산출물,DRCG_PT3072-에어캡봉투(소),DRCG_PT3073-에어캡봉투(중),DRCG_PT3074-에어캡봉투(대),DRCG_PT3237-양면테이프_본품,DRCG_PT3238-양면테이프_리필,DRCG_PT3755-조립산출물_Solid스탠다드G형박스,DRCG_PT4760-골지G형박스(S)_그레이,DRCG_PT4761-골지G형박스(M)_그레이,DRCG_PT4762-골지G형박스(L)_그레이",,"10,000 미만",Kit ,G형박스,골지합지,일상적제품,,,,PB
매트블랙 텀블러,MTTB,2019-03-01,,,대한민국,Drinkware,판매중,"MTTB_PT0878-매트블랙텀블러_블랙,MTTB_PT0875-실크_매트블랙텀블러_스텐락(CNT코리아)[매트블랙텀블러],MTTB_PT0883-레이저각인_매트블랙텀블러_스텐락(CNT코리아)[매트블랙텀블러],MTTB_PT0879-가죽슬리브_컬러[매트블랙텀블러],MTTB_PT0881-공박(음각)_매트블랙텀블러_유엘상사[가죽슬리브],MTTB_PT0645-단품박스(기성(배송용)),MTTB_PT0874-단품박스(전용)_블랙_000-7,MTTB_PT0882-단품박스(커스텀인쇄)_블랙_000-7,MTTB_PT0876-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-7,MTTB_PT2622-샘플(본제작과동일옵션)[매트블랙텀블러],MTTB_PT0880-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-2[전용_단품박스],MTTB_PT0877-색박(음각)_매트블랙텀블러_유엘상사[가죽슬리브],MTTB_PT1919-색박(음각)_50x50_청산인쇄[커스텀인쇄_단품박스],MTTB_PT1942-색박(음각)_50x100_청산인쇄[커스텀인쇄_단품박스],MTTB_PT1960-색박(음각)_100x100_청산인쇄[커스텀인쇄_단품박스],MTTB_PT1980-색박(음각)_150x200_청산인쇄[커스텀인쇄_단품박스],MTTB_PT1993-색박(음각)_250x250_청산인쇄[커스텀인쇄_단품박스],MTTB_PT2403-가죽슬리브_추상적산출물,MTTB_PT2404-매트블랙텀블러_단품박스_추상적산출물,MTTB_PT2401-매트블랙텀블러_추상적산출물,MTTB_PT3012-비벨라_시트(컬러선택필요),MTTB_PT3720-조립산출물_매트블랙텀블러,MTTB_PT3827-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러[전용_단품박스],MTTB_PT4599-가죽슬리브_컬러_(ver2)[매트블랙텀블러]",,"15,000 미만",Drinkware,텀블러,스텐 텀블러,일상적제품,,,,PB
디자이너 노트,DSGN,2018-09-21,2022-04-15,,대한민국,Stationery,판매중,"DSGN_PT0775-디자이너노트_커버(그문드비)_컬러,DSGN_PT1903-색박(음각)_50x50_청산인쇄[디자이너노트_커버],DSGN_PT1946-색박(음각)_100x100_청산인쇄[디자이너노트_커버],DSGN_PT1930-색박(음각)_50x100_청산인쇄[디자이너노트_커버],DSGN_PT1967-색박(음각)_150x200_청산인쇄[디자이너노트_커버],DSGN_PT0776-디자이너노트_내지(무지),DSGN_PT0781-디자이너노트_내지(커스텀인쇄)_화이트+옵셋풀컬러,DSGN_PT0778-띠지(커스텀인쇄)_화이트+디지털풀컬러_300-4,DSGN_PT1859-공박(양각)_50x50_청산인쇄[디자이너노트_커버],DSGN_PT1872-공박(양각)_50x100_청산인쇄[디자이너노트_커버],DSGN_PT1878-공박(양각)_100x100_청산인쇄[디자이너노트_커버],DSGN_PT1888-공박(양각)_150x200_청산인쇄[디자이너노트_커버],DSGN_PT1896-공박(양각)_250x250_청산인쇄[디자이너노트_커버],DSGN_PT1987-색박(음각)_250x250_청산인쇄[디자이너노트_커버],DSGN_PT2032-실크_30x30_청산인쇄[디자이너노트_커버],DSGN_PT2025-실크_50x50_청산인쇄[디자이너노트_커버],DSGN_PT2019-실크_80x180_청산인쇄[디자이너노트_커버],DSGN_PT2015-실크_130x200_청산인쇄[디자이너노트_커버],DSGN_PT2013-실크_250x250_청산인쇄[디자이너노트_커버],DSGN_PT0779-디자이너노트_커버(컬러플랜)_컬러,DSGN_PT0777-디자이너노트_내지(커스텀인쇄전체)_화이트+옵셋지정색,DSGN_PT0780-디자이너노트_커버(친환경)_컬러,DSGN_PT0782-디자이너노트_내지(커스텀인쇄전체)_+블랙인쇄,DSGN_PT2309-디자이너노트_커버(코코아)_컬러,DSGN_PT2310-디자이너노트_커버(후르츠)_컬러,DSGN_PT2386-디자이너노트_내지(커스텀인쇄전체)_화이트+옵셋지정색,DSGN_PT2387-디자이너노트_내지(커스텀인쇄1p)_화이트+옵셋지정색,DSGN_PT2503-디자이너노트_추상적산출물,DSGN_PT3495-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,DSGN_PT3743-조립산출물_디자이너노트",,"5,000 미만",Stationery,노트,컬러페이퍼 커버,일상적제품,,,,PB
스탠드-업 칫솔,STTB,2019-08-26,2022-11-29,,대한민국,Lifestyle,판매중,"STTB_PT1136-스탠드업칫솔_화이트,STTB_PT1142-스탠드업칫솔_라이트그레이,STTB_PT1138-실크_1색_스탠드업칫솔_신명인쇄[스탠드업칫솔],STTB_PT1137-실크_2색_스탠드업칫솔_신명인쇄[스탠드업칫솔],STTB_PT1143-휴대용치약(오리지널맛)_그린,STTB_PT1144-휴대용치약(자몽맛)_핑크,STTB_PT1147-단품박스(스탠다드)_웜그레이_000-4,STTB_PT1141-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-4,STTB_PT1148-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-1[스탠다드_단품박스],STTB_PT1139-슬라이드지퍼백(커스텀인쇄)_투명_200-2,STTB_PT1140-실크_1색_슬라이드지퍼백_스탠드업칫솔_개미기획[슬라이드지퍼백],STTB_PT1146-휴대용치약(민트맛)_민트,STTB_PT1145-휴대용치약(미백용)_블루,STTB_PT2544-스탠드업칫솔_추상적산출물,STTB_PT2952-휴대용치약(라끄시안20g),STTB_PT3086-휴대용치약(언파차차20g)_화이트,STTB_,STTB_,STTB_PT3318-휴대용치약(언파차차30g)_블랙,STTB_PT3319-휴대용치약(언파차차30g)_그레이,STTB_PT3330-칫솔케이스(커스텀인쇄)_투명,STTB_PT3463-실크_1색_칫솔케이스_신명인쇄[칫솔케이스],STTB_PT3754-조립산출물_스탠드업칫솔,STTB_PT3786-인쇄된슬라이드지퍼백,STTB_PT3787-칫솔케이스_추상적산출물,STTB_PT4927-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러","(효경)
MBS 발주 시 품질표기스티커 MD팀에 템플릿 제작 요청 필요 ","5,000 미만",Lifestyle,구강관리,플라스틱 칫솔,일상적제품,,,,NB
