파츠명 (Long ver),굿즈 연결 현황 (from item),파츠 유형,파츠: 가로x세로x높이(장폭고),파츠: 지류/소재,발주 세부사항(임가공 포함),재고여부,제작협력사,itemdb (new),1개_표준원가,50개_표준원가,100개_표준원가,300개_표준원가,500개_표준원가,1000개_표준원가,3000개_표준원가,5000개_표준원가,10000개_표준원가,30000개_표준원가,재고_리드타임,파츠 제작 리드타임_기본_500개,파츠 제작 이동 리드타임,파츠 제작 리드타임_수량별 조정_1000개,파츠 제작 리드타임_수량별 조정_3000개,파츠 총 제작 리드타임_기본_500개,파츠 총 제작 리드타임_1000개,파츠 총 제작 리드타임_3000개,파츠 제작 리드타임_수량별 조정_100개,파츠 총 제작 리드타임_100개,파츠 제작 리드타임_수량별 조정_300개,파츠 총 제작 리드타임_300개
PT2131-골지단품박스(스탠다드)_화이트_100-6,"재고생산, 올데이 텀블러",Package Parts,104x104x226  펼침434.5*426 ,SC마닐라 240g + 백색 편E골  합지,"1) 먹1도인쇄
2) 무광코팅
3) 펄박
4) 합지
5) 톰슨
5) 단면접착",⭕재고⭕,(주)청산인쇄,"DCMS_PT2131-골지단품박스(스탠다드)_화이트_100-6,STCK_PT2131-골지단품박스(스탠다드)_화이트_100-6,ADYT_PT2131-골지단품박스(스탠다드)_화이트_100-6,GTVC_PT2131-골지단품박스(스탠다드)_화이트_100-6",850,850,850,850,850,850,610,580,530,355,18,,,,,,0,0,,0,,0
PT3362-올데이텀블러_화이트,"재고생산, 올데이 텀블러",Product Parts,,,보틀 하단 면 수입 시 부착된 표시사항스티커 그대로 부착하여 납품,⭕재고⭕,강천FNT,"STCK_PT3362-올데이텀블러_화이트,ADYT_PT3362-올데이텀블러_화이트",5700,5700,5700,5700,5700,5700,5700,5550,5550,5550,,,,,,,0,0,,0,,0
PT2832-올웨이즈양우산(세트_본품및케이스)_블랙,"재고생산, 올웨이즈 양우산",Product Parts, 80x40x190,,"1. 재고 생산 시에는 양우산 내부의 지정 위치에 케어라벨을 봉제하여야 합니다.
2. 성우무역 입하 시 전수 검품을 기본으로 진행합니다.",⭕재고⭕,성우무역,"STCK_PT2832-올웨이즈양우산(세트_본품및케이스)_블랙,ALUM_PT2832-올웨이즈양우산(세트_본품및케이스)_블랙",8780,8780,8780,8780,8780,8780,8780,8780,8780,8780,40,,,,,,0,0,,0,,0
PT2847-OPP,"재고생산, 올웨이즈 양우산",Package Parts,130*230+40,,,⭕재고⭕,혜림봉투,"STCK_PT2847-OPP,ALUM_PT2847-OPP",12,12,12,12,12,12,12,12,12,12,,,,,,,0,0,,0,,0
PT3365-와이드클립펜_올블랙,"재고생산, 와이드클립 펜",Product Parts,,,,⭕재고⭕,(주)피알판촉,"STCK_PT3365-와이드클립펜_올블랙,WIDC_PT3365-와이드클립펜_올블랙",825,825,825,825,825,825,825,815,798,798,,,,,,,0,0,,0,,0
PT3366-와이드클립펜_화이트,"재고생산, 와이드클립 펜",Product Parts,,,,⭕재고⭕,(주)피알판촉,"STCK_PT3366-와이드클립펜_화이트,WIDC_PT3366-와이드클립펜_화이트",825,825,825,825,825,825,825,815,798,798,,,,,,,0,0,,0,,0
PT4402-단품박스(스탠다드)_화이트_09WH,"재고생산, 월드와이드 멀티어댑터",Package Parts,76×65×80mm,BV 350g,"1) BV 350g 
2) 단면 먹1도
3) 단면 무광코팅
4) 펄박 (지산860)
5) 도무송 
6) 삼면접착 
7)기존목형 사용
(스탠다드 패키지박스 09WH)",⭕재고⭕,(주)청산인쇄,"STCK_PT4402-단품박스(스탠다드)_화이트_09WH,WWMA_PT4402-단품박스(스탠다드)_화이트_09WH",410,410,410,410,410,410,215,212,186,186,,,,,,,0,0,,0,,0
PT4403-사각스티커(전용)(KC면제필)_화이트+디지털풀컬러,"재고생산, 월드와이드 멀티어댑터",Package Parts,30×10mm,초강접 아트지 스티커 90g,"반칼,무광코팅",⭕재고⭕,서울디지털인쇄협동조합,"STCK_PT4403-사각스티커(전용)(KC면제필)_화이트+디지털풀컬러,WWMA_PT4403-사각스티커(전용)(KC면제필)_화이트+디지털풀컬러",70,70,70,70,70,70,60,50,40,40,,,,,,,0,0,,0,,0
PT3323-페이퍼G형박스(전용)_웜그레이+블랙인쇄,"재고생산, 위시 오브제 캔들",Package Parts,"90x116x53
펼침면 558.49x401","인스퍼시그니처 350g 페일그레이
(FSC인증지)","1) 단면 먹1도인쇄
2) 톰슨
***FSC인증용 청구서로 전달
* FSC_Claim : FSC mix",⭕재고⭕,(주)청산인쇄,"STCK_PT3323-페이퍼G형박스(전용)_웜그레이+블랙인쇄,OJCD_PT3323-페이퍼G형박스(전용)_웜그레이+블랙인쇄",1020,1020,1020,1020,1020,1020,850,830,830,830,,,,,,,0,0,,0,,0
PT4755-칠링패드냉각선풍기_화이트,"재고생산, 칠링패드 냉각선풍기",Product Parts,,,,⭕재고⭕,(주)쉔코리아,"STCK_PT4755-칠링패드냉각선풍기_화이트,CPNF_PT4755-칠링패드냉각선풍기_화이트[쉔코리아],CPNF_PT4755-칠링패드냉각선풍기_화이트[신명인쇄]",8636,8636,8636,8636,8636,8636,8636,8636,8636,8636,,,,,,,0,0,,0,,0
